regime,metric,includes_zambia,min_group,min,max_group,max,spread,spread_ci_low,spread_ci_high,spread_n_boot
no_gate,coverage,True,KU Leuven,1.0,KU Leuven,1.0,0.0,0.0,0.0,1000
no_gate,mean_cross_tau,True,OULAD,0.2827329263472147,KU Leuven,0.5999742992790641,0.3172413729318494,0.27779523213555085,0.3547086071208063,1000
global,coverage,True,Zambia,0.45,KU Leuven,0.7031963470319634,0.2531963470319634,0.15953201730764283,0.3843183248952684,1000
global,mean_cross_tau,True,OULAD,0.3972689496641112,KU Leuven,0.6273053240583768,0.2300363743942656,0.18286489603786973,0.2806146210420474,1000
cohort_calibrated,coverage,True,OULAD,0.5879338116854591,Zambia,0.6,0.012066188314540871,0.005859253763282377,0.023415254173018176,1000
cohort_calibrated,mean_cross_tau,True,OULAD,0.4038016276267679,KU Leuven,0.6421860417393432,0.23838441411257533,0.18966599759651098,0.28231910308717884,1000
oracle,coverage,True,OULAD,0.5879338116854591,Zambia,0.6,0.012066188314540871,0.005859253763282377,0.023415254173018176,1000
oracle,mean_cross_tau,True,OULAD,0.4879742231317886,KU Leuven,0.708744868722746,0.22077064559095738,0.1770252890069564,0.25639966309787315,1000
no_gate,coverage,False,KU Leuven,1.0,KU Leuven,1.0,0.0,0.0,0.0,1000
no_gate,mean_cross_tau,False,OULAD,0.2827329263472147,KU Leuven,0.5999742992790641,0.3172413729318494,0.27779523213555085,0.3547086071208063,1000
global,coverage,False,UKZN,0.4684014869888476,KU Leuven,0.7031963470319634,0.23479486004311584,0.12006615820548319,0.3664563745585284,1000
global,mean_cross_tau,False,OULAD,0.3972689496641112,KU Leuven,0.6273053240583768,0.2300363743942656,0.18111516928909074,0.2796945303675979,1000
cohort_calibrated,coverage,False,OULAD,0.5879338116854591,Oviedo,0.5961070559610706,0.008173244275611502,0.004668365957520746,0.013097639111537742,1000
cohort_calibrated,mean_cross_tau,False,OULAD,0.4038016276267679,KU Leuven,0.6421860417393432,0.23838441411257533,0.18966599759651098,0.28231910308717884,1000
oracle,coverage,False,OULAD,0.5879338116854591,Oviedo,0.5961070559610706,0.008173244275611502,0.004668365957520746,0.013097639111537742,1000
oracle,mean_cross_tau,False,OULAD,0.4879742231317886,KU Leuven,0.708744868722746,0.22077064559095738,0.1770252890069564,0.25639966309787315,1000
