regime,metric,includes_zambia,min_group,min,max_group,max,spread,spread_ci_low,spread_ci_high,spread_n_boot
no_gate,coverage,True,KU Leuven,1.0,KU Leuven,1.0,0.0,0.0,0.0,1000
no_gate,mean_cross_tau,True,OULAD,0.2600830306567363,KU Leuven,0.609047698572615,0.34896466791587866,0.30348772030616894,0.3932131495977185,1000
global,coverage,True,Zambia,0.0,KU Leuven,0.0395738203957382,0.0395738203957382,0.01148903561890071,0.07377393615933998,1000
global,mean_cross_tau,True,,,,,,,,0
cohort_calibrated,coverage,True,KU Leuven,0.00837138508371385,Zambia,0.05,0.04162861491628615,0.03689906619441011,0.04735287465923399,1000
cohort_calibrated,mean_cross_tau,True,OULAD,0.43377323606803364,KU Leuven,0.7241341952769191,0.2903609592088855,0.19254935215716537,0.40398423833245933,1000
oracle,coverage,True,KU Leuven,0.00837138508371385,Zambia,0.05,0.04162861491628615,0.03689906619441011,0.04735287465923399,1000
oracle,mean_cross_tau,True,Zambia,0.6562341273727006,KU Leuven,0.8515943788741971,0.1953602515014965,0.12567150567057292,0.27356844453876117,1000
no_gate,coverage,False,KU Leuven,1.0,KU Leuven,1.0,0.0,0.0,0.0,1000
no_gate,mean_cross_tau,False,OULAD,0.2600830306567363,KU Leuven,0.609047698572615,0.34896466791587866,0.30348772030616894,0.3932131495977185,1000
global,coverage,False,OULAD,0.0013179089178503441,KU Leuven,0.0395738203957382,0.03825591147788786,0.010313681277280462,0.07225905203646929,1000
global,mean_cross_tau,False,OULAD,0.6437776548987678,UKZN,0.7137151105991658,0.069937455700398,0.03320534628530028,0.6826524481194308,976
cohort_calibrated,coverage,False,KU Leuven,0.00837138508371385,Oviedo,0.018092105263157895,0.009720720179444045,0.006471928184525061,0.014603973307677388,1000
cohort_calibrated,mean_cross_tau,False,OULAD,0.43377323606803364,KU Leuven,0.7241341952769191,0.2903609592088855,0.18389162651339508,0.40398423833245933,1000
oracle,coverage,False,KU Leuven,0.00837138508371385,Oviedo,0.018092105263157895,0.009720720179444045,0.006471928184525061,0.014603973307677388,1000
oracle,mean_cross_tau,False,OULAD,0.7029330782624953,KU Leuven,0.8515943788741971,0.1486613006117018,0.11514535463515808,0.18055453174482952,1000
