regime,metric,includes_zambia,min_group,min,max_group,max,spread,spread_ci_low,spread_ci_high,spread_n_boot
no_gate,coverage,True,KU Leuven,1.0,KU Leuven,1.0,0.0,0.0,0.0,1000
no_gate,mean_cross_tau,True,OULAD,0.22878759352620825,KU Leuven,0.5734000144959049,0.3446124209696967,0.2760880305508955,0.43723840492449983,1000
global,coverage,True,Zambia,0.15,OULAD,0.5907160638453653,0.4407160638453653,0.35245979968273045,0.5979301584049217,1000
global,mean_cross_tau,True,OULAD,0.3096253275727743,Zambia,0.6380952380952382,0.3284699105224639,0.24274991126367967,0.4061762547628058,1000
cohort_calibrated,coverage,True,OULAD,0.55732903792649,Zambia,0.575,0.017670962073509933,0.005293556352932568,0.03393825341117319,1000
cohort_calibrated,mean_cross_tau,True,OULAD,0.3198108250131372,KU Leuven,0.6063665302410187,0.28655570522788154,0.21443097367644212,0.3808234342508346,1000
oracle,coverage,True,OULAD,0.55732903792649,Zambia,0.575,0.017670962073509933,0.005293556352932568,0.03393825341117319,1000
oracle,mean_cross_tau,True,OULAD,0.4365688261642019,KU Leuven,0.6639511466250894,0.22738232046088747,0.16455112426574212,0.31900581272233314,1000
no_gate,coverage,False,KU Leuven,1.0,KU Leuven,1.0,0.0,0.0,0.0,1000
no_gate,mean_cross_tau,False,OULAD,0.22878759352620825,KU Leuven,0.5734000144959049,0.3446124209696967,0.27026406597109365,0.43723840492449983,1000
global,coverage,False,UKZN,0.4436183395291202,OULAD,0.5907160638453653,0.14709772431624513,0.05666643110574331,0.29708862584923623,1000
global,mean_cross_tau,False,OULAD,0.3096253275727743,KU Leuven,0.5989445910290238,0.2893192634562495,0.2173221511148065,0.38834362143407547,1000
cohort_calibrated,coverage,False,OULAD,0.55732903792649,Oviedo,0.5625491738788355,0.005220135952345495,0.0028014444560294062,0.00891716172166302,1000
cohort_calibrated,mean_cross_tau,False,OULAD,0.3198108250131372,KU Leuven,0.6063665302410187,0.28655570522788154,0.2074186955059041,0.3777997412465344,1000
oracle,coverage,False,OULAD,0.55732903792649,Oviedo,0.5625491738788355,0.005220135952345495,0.0028014444560294062,0.00891716172166302,1000
oracle,mean_cross_tau,False,OULAD,0.4365688261642019,KU Leuven,0.6639511466250894,0.22738232046088747,0.16240766672666632,0.31900581272233314,1000
